order_id,supplier_id,supplier_name,category,country,order_date,promised_delivery_days,actual_delivery_days,on_time_delivery,quantity_ordered,unit_price_eur,order_value_eur,quality_pass,defect_rate,invoice_accuracy
ORD00042,SUP026,PharmaSupplier Z,Specialty Pharma,Italy,2024-05-20,17,17,1,2440,42.33,103285.2,1,0.0067,1
ORD00043,SUP032,PharmaSupplier F1,Medical Devices,France,2024-02-11,7,7,1,3237,27.2,88046.4,1,0.0141,1
ORD00044,SUP030,PharmaSupplier D1,Specialty Pharma,Belgium,2024-07-27,13,13,1,3506,57.69,202261.14,1,0.0167,1
ORD00045,SUP029,PharmaSupplier C1,Prescription Drugs,Italy,2024-10-26,3,16,0,4816,7.05,33952.8,1,0.0001,1
ORD00046,SUP039,PharmaSupplier M1,Prescription Drugs,Denmark,2024-07-18,16,16,1,4573,90.01,411615.73,1,0.018,1
ORD00047,SUP022,PharmaSupplier V,Specialty Pharma,France,2024-05-19,16,16,1,3285,9.4,30879.0,1,0.0136,1
ORD00048,SUP040,PharmaSupplier N1,OTC Medication,Germany,2024-03-25,17,27,0,4475,26.65,119258.75,1,0.0079,1
ORD00049,SUP017,PharmaSupplier Q,Vaccines,France,2024-01-14,5,5,1,1211,11.06,13393.66,0,0.0145,1
ORD00050,SUP029,PharmaSupplier C1,Prescription Drugs,Italy,2024-06-16,9,9,1,2864,99.22,284166.08,0,0.0303,1
ORD00051,SUP006,PharmaSupplier F,OTC Medication,Netherlands,2024-08-03,11,19,0,258,28.34,7311.72,0,0.0042,0
ORD00052,SUP014,PharmaSupplier N,Specialty Pharma,Denmark,2024-04-24,5,16,0,429,10.55,4525.95,1,0.019,1
ORD00053,SUP012,PharmaSupplier L,OTC Medication,Switzerland,2024-01-11,7,7,1,3979,5.65,22481.35,1,0.0113,1
ORD00054,SUP011,PharmaSupplier K,Medical Devices,France,2024-12-24,11,11,1,1474,101.78,150023.72,1,0.0193,1
ORD00055,SUP009,PharmaSupplier I,Medical Devices,Italy,2024-03-24,12,12,1,310,8.18,2535.8,1,0.0115,1
ORD00056,SUP016,PharmaSupplier P,Medical Devices,France,2024-07-11,15,19,0,722,12.85,9277.7,1,0.0166,1
ORD00057,SUP023,PharmaSupplier W,Specialty Pharma,Germany,2024-12-22,12,12,1,1091,17.52,19114.32,1,0.0113,1
ORD00058,SUP020,PharmaSupplier T,Prescription Drugs,Germany,2024-09-29,16,18,0,4244,43.35,183977.4,0,0.001,1
ORD00059,SUP036,PharmaSupplier J1,OTC Medication,France,2024-09-07,6,6,1,3067,5.11,15672.37,1,0.0166,1
ORD00060,SUP015,PharmaSupplier O,Prescription Drugs,Belgium,2024-08-10,8,8,1,2312,24.42,56459.04,1,0.0184,1
ORD00061,SUP025,PharmaSupplier Y,OTC Medication,Belgium,2024-08-26,16,16,1,4953,31.6,156514.8,1,0.017,1
ORD00062,SUP006,PharmaSupplier F,OTC Medication,Netherlands,2024-02-14,11,15,0,3906,10.66,41637.96,1,0.0134,1
ORD00063,SUP009,PharmaSupplier I,Medical Devices,Italy,2024-09-10,13,13,1,1837,8.38,15394.06,1,0.0052,1
ORD00064,SUP039,PharmaSupplier M1,Prescription Drugs,Denmark,2024-11-01,11,11,1,4332,19.89,86163.48,0,0.0068,1
ORD00065,SUP001,PharmaSupplier A,Medical Devices,Germany,2024-09-07,20,20,1,4000,24.38,97520.0,1,0.0098,1
ORD00066,SUP033,PharmaSupplier G1,Prescription Drugs,Netherlands,2024-02-17,12,12,1,2093,79.93,167293.49,1,0.0116,1
ORD00067,SUP011,PharmaSupplier K,Medical Devices,France,2024-09-28,14,14,1,4608,11.13,51287.04,1,0.0141,1
ORD00068,SUP003,PharmaSupplier C,OTC Medication,Germany,2024-05-08,10,10,1,1677,11.66,19553.82,1,0.0149,0
ORD00069,SUP016,PharmaSupplier P,Medical Devices,France,2024-12-19,8,8,1,4066,19.83,80628.78,1,0.0118,1
ORD00070,SUP033,PharmaSupplier G1,Prescription Drugs,Netherlands,2024-11-01,12,26,0,1690,69.08,116745.2,1,0.0072,1
ORD00071,SUP030,PharmaSupplier D1,Specialty Pharma,Belgium,2024-12-28,20,20,1,472,15.0,7080.0,0,0.0443,1
ORD00072,SUP018,PharmaSupplier R,Specialty Pharma,Denmark,2024-03-05,18,18,1,200,15.42,3084.0,1,0.0094,1
ORD00073,SUP018,PharmaSupplier R,Specialty Pharma,Denmark,2024-04-04,4,4,1,4013,37.43,150206.59,1,0.0013,1
ORD00074,SUP027,PharmaSupplier A1,Specialty Pharma,Italy,2024-10-22,4,4,1,4710,9.92,46723.2,0,0.0068,1
ORD00075,SUP031,PharmaSupplier E1,Medical Devices,Netherlands,2024-10-12,16,16,1,1948,26.5,51622.0,1,0.0076,1
ORD00076,SUP021,PharmaSupplier U,Specialty Pharma,France,2024-06-01,21,26,0,4758,14.56,69276.48,1,0.0122,1
ORD00077,SUP038,PharmaSupplier L1,Vaccines,Switzerland,2024-04-16,9,9,1,765,22.31,17067.15,1,0.0035,1
ORD00078,SUP034,PharmaSupplier H1,Prescription Drugs,Germany,2024-01-02,16,16,1,4964,20.78,103151.92,1,0.0007,1
ORD00079,SUP002,PharmaSupplier B,Specialty Pharma,Denmark,2024-05-24,17,17,1,2012,104.69,210636.28,0,0.063,1
ORD00080,SUP005,PharmaSupplier E,Prescription Drugs,Belgium,2024-12-04,9,9,1,4561,54.99,250809.39,1,0.003,1
ORD00081,SUP014,PharmaSupplier N,Specialty Pharma,Denmark,2024-03-13,5,5,1,2619,102.22,267714.18,1,0.0165,0
ORD00082,SUP036,PharmaSupplier J1,OTC Medication,France,2024-08-12,6,6,1,2591,49.48,128202.68,1,0.0189,1
ORD00083,SUP024,PharmaSupplier X,OTC Medication,France,2024-09-09,17,17,1,426,152.93,65148.18,0,0.0588,1
ORD00084,SUP040,PharmaSupplier N1,OTC Medication,Germany,2024-01-14,5,5,1,4812,26.49,127469.88,1,0.0004,1
ORD00085,SUP002,PharmaSupplier B,Specialty Pharma,Denmark,2024-05-17,21,21,1,1535,21.72,33340.2,1,0.013,1
ORD00086,SUP027,PharmaSupplier A1,Specialty Pharma,Italy,2024-04-02,21,21,1,4128,60.53,249867.84,0,0.0376,1
ORD00087,SUP028,PharmaSupplier B1,Medical Devices,Germany,2024-06-13,6,12,0,3472,51.76,179710.72,1,0.0058,0
ORD00088,SUP003,PharmaSupplier C,OTC Medication,Germany,2024-10-08,4,4,1,2676,20.61,55152.36,1,0.0023,1
ORD00089,SUP027,PharmaSupplier A1,Specialty Pharma,Italy,2024-09-20,3,3,1,4544,2.73,12405.12,1,0.0011,1
ORD00090,SUP034,PharmaSupplier H1,Prescription Drugs,Germany,2024-11-14,18,18,1,522,21.74,11348.28,1,0.011,0
ORD00091,SUP026,PharmaSupplier Z,Specialty Pharma,Italy,2024-08-12,18,18,1,2060,5.11,10526.6,1,0.0062,1
ORD00092,SUP007,PharmaSupplier G,Medical Devices,Switzerland,2024-07-27,5,5,1,1029,27.31,28101.99,1,0.0023,1
ORD00093,SUP006,PharmaSupplier F,OTC Medication,Netherlands,2024-09-12,12,12,1,2339,92.14,215515.46,1,0.0096,1
ORD00094,SUP038,PharmaSupplier L1,Vaccines,Switzerland,2024-08-21,20,20,1,1661,32.88,54613.68,0,0.0407,1
ORD00095,SUP034,PharmaSupplier H1,Prescription Drugs,Germany,2024-02-05,11,11,1,3499,151.7,530798.3,1,0.0158,1
ORD00096,SUP003,PharmaSupplier C,OTC Medication,Germany,2024-01-02,12,26,0,4908,7.19,35288.52,1,0.0132,1
ORD00097,SUP037,PharmaSupplier K1,Vaccines,France,2024-08-16,20,20,1,2823,67.6,190834.8,1,0.0109,1
ORD00098,SUP018,PharmaSupplier R,Specialty Pharma,Denmark,2024-06-13,9,13,0,4784,19.18,91757.12,1,0.0171,1
ORD00099,SUP023,PharmaSupplier W,Specialty Pharma,Germany,2024-06-11,18,18,1,3223,73.38,236503.74,1,0.0133,1
ORD00100,SUP028,PharmaSupplier B1,Medical Devices,Germany,2024-03-18,18,21,0,4214,51.34,216346.76,0,0.0266,1
ORD00101,SUP005,PharmaSupplier E,Prescription Drugs,Belgium,2024-08-13,6,6,1,3843,30.89,118710.27,1,0.0029,1
ORD00102,SUP015,PharmaSupplier O,Prescription Drugs,Belgium,2024-03-20,5,5,1,2271,18.34,41650.14,1,0.0139,1
ORD00103,SUP035,PharmaSupplier I1,Medical Devices,Belgium,2024-06-17,20,20,1,2694,18.82,50701.08,1,0.0177,1
ORD00104,SUP001,PharmaSupplier A,Medical Devices,Germany,2024-10-04,4,4,1,2023,15.25,30850.75,1,0.0184,0
ORD00105,SUP012,PharmaSupplier L,OTC Medication,Switzerland,2024-02-16,16,29,0,923,42.91,39605.93,1,0.0139,1
ORD00106,SUP024,PharmaSupplier X,OTC Medication,France,2024-01-24,13,18,0,3036,21.19,64332.84,1,0.0029,1
ORD00107,SUP036,PharmaSupplier J1,OTC Medication,France,2024-10-16,8,8,1,746,60.3,44983.8,1,0.0077,1
ORD00108,SUP012,PharmaSupplier L,OTC Medication,Switzerland,2024-09-11,21,21,1,3877,19.82,76842.14,1,0.0092,1
ORD00109,SUP015,PharmaSupplier O,Prescription Drugs,Belgium,2024-08-26,12,12,1,1394,18.32,25538.08,1,0.0189,0
ORD00110,SUP019,PharmaSupplier S,Medical Devices,France,2024-06-02,16,16,1,3842,50.53,194136.26,1,0.004,1
ORD00111,SUP006,PharmaSupplier F,OTC Medication,Netherlands,2024-09-04,6,6,1,4785,39.79,190395.15,1,0.0059,1
ORD00112,SUP027,PharmaSupplier A1,Specialty Pharma,Italy,2024-01-12,15,15,1,4736,81.53,386126.08,1,0.0156,0
ORD00113,SUP026,PharmaSupplier Z,Specialty Pharma,Italy,2024-11-06,18,18,1,2444,26.45,64643.8,1,0.0046,1
ORD00114,SUP027,PharmaSupplier A1,Specialty Pharma,Italy,2024-04-22,9,9,1,1220,87.31,106518.2,1,0.0181,1
ORD00115,SUP024,PharmaSupplier X,OTC Medication,France,2024-06-07,17,17,1,3088,20.69,63890.72,0,0.0072,1
ORD00116,SUP038,PharmaSupplier L1,Vaccines,Switzerland,2024-07-31,8,8,1,4518,6.43,29050.74,0,0.0293,1
ORD00117,SUP036,PharmaSupplier J1,OTC Medication,France,2024-05-19,8,8,1,4047,43.08,174344.76,0,0.0236,1
ORD00118,SUP039,PharmaSupplier M1,Prescription Drugs,Denmark,2024-02-28,17,20,0,1948,54.42,106010.16,1,0.0145,0
ORD00119,SUP014,PharmaSupplier N,Specialty Pharma,Denmark,2024-10-12,14,14,1,3332,53.5,178262.0,1,0.0107,1
ORD00120,SUP038,PharmaSupplier L1,Vaccines,Switzerland,2024-12-10,11,11,1,3143,104.26,327689.18,1,0.0047,1
ORD00121,SUP033,PharmaSupplier G1,Prescription Drugs,Netherlands,2024-10-14,13,17,0,617,8.44,5207.48,1,0.0093,1
ORD00122,SUP011,PharmaSupplier K,Medical Devices,France,2024-11-28,16,16,1,471,3.04,1431.84,1,0.0061,1
ORD00123,SUP038,PharmaSupplier L1,Vaccines,Switzerland,2024-02-19,10,13,0,3283,15.21,49934.43,1,0.0134,1
ORD00124,SUP028,PharmaSupplier B1,Medical Devices,Germany,2024-10-03,16,16,1,1365,37.92,51760.8,0,0.0524,1
ORD00125,SUP005,PharmaSupplier E,Prescription Drugs,Belgium,2024-11-11,16,21,0,368,137.16,50474.88,1,0.0043,1
ORD00126,SUP014,PharmaSupplier N,Specialty Pharma,Denmark,2024-04-30,14,14,1,3109,53.4,166020.6,1,0.0196,1
ORD00127,SUP038,PharmaSupplier L1,Vaccines,Switzerland,2024-07-22,11,11,1,1100,10.44,11484.0,0,0.0659,1
ORD00128,SUP007,PharmaSupplier G,Medical Devices,Switzerland,2024-04-18,3,3,1,2832,118.23,334827.36,1,0.0025,1
ORD00129,SUP015,PharmaSupplier O,Prescription Drugs,Belgium,2024-02-05,20,20,1,1869,14.63,27343.47,1,0.0047,1
ORD00130,SUP007,PharmaSupplier G,Medical Devices,Switzerland,2024-11-01,3,3,1,1285,16.81,21600.85,0,0.0432,1
ORD00131,SUP022,PharmaSupplier V,Specialty Pharma,France,2024-02-26,3,3,1,3034,16.14,48968.76,1,0.0048,1
ORD00132,SUP001,PharmaSupplier A,Medical Devices,Germany,2024-03-30,11,11,1,3548,18.92,67128.16,1,0.0149,1
ORD00133,SUP022,PharmaSupplier V,Specialty Pharma,France,2024-07-04,19,19,1,3802,93.64,356019.28,1,0.0189,1
ORD00134,SUP006,PharmaSupplier F,OTC Medication,Netherlands,2024-12-03,19,19,1,355,6.54,2321.7,1,0.0096,1
ORD00135,SUP028,PharmaSupplier B1,Medical Devices,Germany,2024-12-17,6,6,1,3733,16.09,60063.97,1,0.0016,1
ORD00136,SUP009,PharmaSupplier I,Medical Devices,Italy,2024-02-03,7,7,1,4895,14.73,72103.35,1,0.0065,0
ORD00137,SUP024,PharmaSupplier X,OTC Medication,France,2024-09-28,12,12,1,3624,23.35,84620.4,1,0.014,1
ORD00138,SUP006,PharmaSupplier F,OTC Medication,Netherlands,2024-11-29,20,20,1,1861,16.13,30017.93,1,0.0178,1
ORD00139,SUP029,PharmaSupplier C1,Prescription Drugs,Italy,2024-08-20,15,15,1,878,34.14,29974.92,1,0.0063,1
ORD00140,SUP029,PharmaSupplier C1,Prescription Drugs,Italy,2024-03-19,18,18,1,799,8.08,6455.92,1,0.0019,1
ORD00141,SUP024,PharmaSupplier X,OTC Medication,France,2024-03-07,20,20,1,4700,7.29,34263.0,1,0.0134,1
ORD00142,SUP029,PharmaSupplier C1,Prescription Drugs,Italy,2024-12-06,16,28,0,521,56.28,29321.88,0,0.048,1
ORD00143,SUP030,PharmaSupplier D1,Specialty Pharma,Belgium,2024-10-22,19,19,1,4050,23.37,94648.5,1,0.0022,1
ORD00144,SUP038,PharmaSupplier L1,Vaccines,Switzerland,2024-07-07,6,6,1,4803,10.13,48654.39,1,0.0086,1
ORD00145,SUP005,PharmaSupplier E,Prescription Drugs,Belgium,2024-11-14,20,20,1,2290,21.7,49693.0,1,0.0055,1
ORD00146,SUP014,PharmaSupplier N,Specialty Pharma,Denmark,2024-06-22,14,14,1,1273,63.71,81102.83,1,0.008,1
ORD00147,SUP013,PharmaSupplier M,Specialty Pharma,Netherlands,2024-11-20,3,3,1,4445,98.25,436721.25,1,0.0084,1
ORD00148,SUP032,PharmaSupplier F1,Medical Devices,France,2024-07-08,12,12,1,4749,5.92,28114.08,1,0.0177,1
ORD00149,SUP008,PharmaSupplier H,Prescription Drugs,Italy,2024-11-12,4,4,1,2329,11.32,26364.28,1,0.0085,1
ORD00150,SUP030,PharmaSupplier D1,Specialty Pharma,Belgium,2024-07-31,11,11,1,4297,51.02,219232.94,1,0.0086,1
ORD00151,SUP040,PharmaSupplier N1,OTC Medication,Germany,2024-12-13,21,21,1,2626,27.78,72950.28,1,0.0079,1
ORD00152,SUP020,PharmaSupplier T,Prescription Drugs,Germany,2024-01-04,9,9,1,1830,15.26,27925.8,0,0.0611,1
ORD00153,SUP035,PharmaSupplier I1,Medical Devices,Belgium,2024-03-02,3,3,1,3627,4.6,16684.2,1,0.0076,1
ORD00154,SUP007,PharmaSupplier G,Medical Devices,Switzerland,2024-09-13,20,33,0,3001,14.23,42704.23,1,0.0172,1
ORD00155,SUP032,PharmaSupplier F1,Medical Devices,France,2024-01-10,17,31,0,2664,63.95,170362.8,1,0.0115,1
ORD00156,SUP026,PharmaSupplier Z,Specialty Pharma,Italy,2024-08-01,12,12,1,270,40.7,10989.0,0,0.0137,0
ORD00157,SUP021,PharmaSupplier U,Specialty Pharma,France,2024-08-23,14,14,1,967,28.19,27259.73,1,0.0118,1
ORD00158,SUP036,PharmaSupplier J1,OTC Medication,France,2024-07-21,12,16,0,2828,27.09,76610.52,0,0.0061,1
ORD00159,SUP002,PharmaSupplier B,Specialty Pharma,Denmark,2024-09-28,19,19,1,2962,12.15,35988.3,1,0.0192,1
ORD00160,SUP025,PharmaSupplier Y,OTC Medication,Belgium,2024-03-16,10,10,1,2196,16.75,36783.0,1,0.012,1
ORD00161,SUP028,PharmaSupplier B1,Medical Devices,Germany,2024-12-01,5,5,1,4147,45.88,190264.36,1,0.0113,1
ORD00162,SUP021,PharmaSupplier U,Specialty Pharma,France,2024-12-14,21,21,1,2747,328.92,903543.24,1,0.0125,1
ORD00163,SUP002,PharmaSupplier B,Specialty Pharma,Denmark,2024-02-04,18,18,1,2580,30.32,78225.6,1,0.0118,1
ORD00164,SUP009,PharmaSupplier I,Medical Devices,Italy,2024-02-07,12,12,1,408,7.44,3035.52,1,0.0166,1
ORD00165,SUP003,PharmaSupplier C,OTC Medication,Germany,2024-02-16,19,19,1,4854,7.86,38152.44,1,0.0158,1
ORD00166,SUP011,PharmaSupplier K,Medical Devices,France,2024-08-18,21,21,1,2733,4.89,13364.37,1,0.01,0
ORD00167,SUP036,PharmaSupplier J1,OTC Medication,France,2024-08-18,6,20,0,2913,12.82,37344.66,0,0.0067,1
ORD00168,SUP012,PharmaSupplier L,OTC Medication,Switzerland,2024-01-21,10,18,0,4393,21.48,94361.64,1,0.0032,1
ORD00169,SUP039,PharmaSupplier M1,Prescription Drugs,Denmark,2024-05-24,15,15,1,2871,40.61,116591.31,1,0.001,1
ORD00170,SUP018,PharmaSupplier R,Specialty Pharma,Denmark,2024-06-20,5,5,1,4670,3.99,18633.3,0,0.0227,1
ORD00171,SUP001,PharmaSupplier A,Medical Devices,Germany,2024-12-02,7,7,1,4873,16.93,82499.89,1,0.0183,1
ORD00172,SUP004,PharmaSupplier D,Specialty Pharma,Denmark,2024-12-01,15,15,1,794,55.82,44321.08,1,0.0075,1
ORD00173,SUP003,PharmaSupplier C,OTC Medication,Germany,2024-03-06,19,19,1,3568,36.09,128769.12,1,0.0004,1
ORD00174,SUP025,PharmaSupplier Y,OTC Medication,Belgium,2024-04-19,13,13,1,4083,42.51,173568.33,1,0.02,1
ORD00175,SUP019,PharmaSupplier S,Medical Devices,France,2024-05-31,6,6,1,4521,46.36,209593.56,1,0.0177,1
ORD00176,SUP029,PharmaSupplier C1,Prescription Drugs,Italy,2024-06-21,7,7,1,1363,291.13,396810.19,1,0.0166,1
ORD00177,SUP002,PharmaSupplier B,Specialty Pharma,Denmark,2024-03-25,17,17,1,3084,17.16,52921.44,1,0.0048,1
ORD00178,SUP027,PharmaSupplier A1,Specialty Pharma,Italy,2024-05-25,17,17,1,2059,37.41,77027.19,1,0.0162,1
ORD00179,SUP036,PharmaSupplier J1,OTC Medication,France,2024-04-09,14,14,1,4772,7.81,37269.32,0,0.0369,1
ORD00180,SUP021,PharmaSupplier U,Specialty Pharma,France,2024-07-14,19,19,1,1427,22.45,32036.15,1,0.016,1
ORD00181,SUP008,PharmaSupplier H,Prescription Drugs,Italy,2024-05-08,4,4,1,3140,4.13,12968.2,1,0.0021,1
ORD00182,SUP037,PharmaSupplier K1,Vaccines,France,2024-03-04,12,12,1,1413,15.62,22071.06,1,0.0181,1
ORD00183,SUP011,PharmaSupplier K,Medical Devices,France,2024-08-11,5,9,0,3795,25.56,97000.2,1,0.0186,1
ORD00184,SUP030,PharmaSupplier D1,Specialty Pharma,Belgium,2024-07-21,19,19,1,3263,40.55,132314.65,0,0.03,1
ORD00185,SUP033,PharmaSupplier G1,Prescription Drugs,Netherlands,2024-02-20,13,16,0,413,3.21,1325.73,1,0.0166,1
ORD00186,SUP017,PharmaSupplier Q,Vaccines,France,2024-03-12,18,18,1,143,10.89,1557.27,0,0.0015,1
ORD00187,SUP011,PharmaSupplier K,Medical Devices,France,2024-03-17,20,30,0,4423,14.49,64089.27,1,0.0155,1
ORD00188,SUP001,PharmaSupplier A,Medical Devices,Germany,2024-03-03,4,4,1,3844,8.03,30867.32,1,0.0167,1
ORD00189,SUP017,PharmaSupplier Q,Vaccines,France,2024-10-01,3,3,1,4810,35.3,169793.0,1,0.0029,1
ORD00190,SUP009,PharmaSupplier I,Medical Devices,Italy,2024-11-10,14,14,1,3512,46.73,164115.76,1,0.0134,1
ORD00191,SUP031,PharmaSupplier E1,Medical Devices,Netherlands,2024-07-03,5,5,1,4557,31.35,142861.95,1,0.0198,1
ORD00192,SUP017,PharmaSupplier Q,Vaccines,France,2024-07-18,18,18,1,3269,14.11,46125.59,0,0.0203,1
ORD00193,SUP028,PharmaSupplier B1,Medical Devices,Germany,2024-02-04,14,14,1,949,41.98,39839.02,1,0.0147,1
ORD00194,SUP040,PharmaSupplier N1,OTC Medication,Germany,2024-01-23,14,14,1,1534,3.97,6089.98,1,0.0137,0
ORD00195,SUP024,PharmaSupplier X,OTC Medication,France,2024-09-02,8,10,0,3849,35.82,137871.18,1,0.004,1
ORD00196,SUP040,PharmaSupplier N1,OTC Medication,Germany,2024-01-22,13,22,0,3362,14.58,49017.96,0,0.0434,1
ORD00197,SUP008,PharmaSupplier H,Prescription Drugs,Italy,2024-11-27,9,9,1,491,70.96,34841.36,1,0.0066,1
ORD00198,SUP038,PharmaSupplier L1,Vaccines,Switzerland,2024-07-07,16,28,0,3702,68.71,254364.42,0,0.0309,0
ORD00199,SUP039,PharmaSupplier M1,Prescription Drugs,Denmark,2024-09-11,18,18,1,4353,13.23,57590.19,1,0.0017,1
ORD00200,SUP015,PharmaSupplier O,Prescription Drugs,Belgium,2024-08-08,8,8,1,2731,11.48,31351.88,1,0.0066,1
ORD00201,SUP018,PharmaSupplier R,Specialty Pharma,Denmark,2024-08-16,16,16,1,3736,26.08,97434.88,1,0.0008,1
ORD00202,SUP004,PharmaSupplier D,Specialty Pharma,Denmark,2024-06-29,16,16,1,569,3.98,2264.62,1,0.0128,1
ORD00203,SUP032,PharmaSupplier F1,Medical Devices,France,2024-12-13,8,11,0,3689,22.38,82559.82,1,0.0013,1
ORD00204,SUP008,PharmaSupplier H,Prescription Drugs,Italy,2024-07-06,14,14,1,4746,56.85,269810.1,1,0.0031,1
ORD00205,SUP007,PharmaSupplier G,Medical Devices,Switzerland,2024-07-08,14,14,1,729,78.01,56869.29,1,0.0106,1
