product_id,category,warehouse,month,stock_level,units_sold,units_expired,total_stock_cost_eur,storage_cost_eur,waste_cost_eur,revenue_eur,reorder_triggered
PROD0019,OTC Medication,Munich,2024-01,438,217,3,4879.32,329.38,33.42,3428.52,0
PROD0020,Vitamins & Supplements,Frankfurt,2024-01,434,205,3,2638.72,210.49,18.24,1518.76,0
PROD0021,Specialty Pharma,Mannheim HQ,2024-01,2301,25,5,442367.25,26940.11,961.25,6765.31,0
PROD0022,Specialty Pharma,Mannheim HQ,2024-01,147,51,0,3713.22,139.65,0.0,1663.83,1
PROD0023,Specialty Pharma,Berlin,2024-01,938,173,11,33683.58,2637.66,395.01,8879.72,0
PROD0024,Specialty Pharma,Cologne,2024-01,208,90,10,1245.92,62.82,59.9,687.79,0
PROD0025,OTC Medication,Frankfurt,2024-01,2743,528,106,47261.89,3549.44,1826.38,12961.64,0
PROD0026,Prescription Drugs,Berlin,2024-01,413,89,2,15623.79,1136.16,75.66,4449.19,0
PROD0027,OTC Medication,Mannheim HQ,2024-01,355,148,1,2953.6,74.19,8.32,1482.32,1
PROD0028,Vaccines,Munich,2024-01,2179,114,51,113264.42,6748.36,2650.98,6937.11,0
PROD0029,Vaccines,Hamburg,2024-01,1170,309,49,18848.7,1467.18,789.39,6986.38,0
PROD0030,Specialty Pharma,Hamburg,2024-01,2818,196,116,65772.12,5241.48,2707.44,5271.77,0
PROD0031,Vitamins & Supplements,Munich,2024-01,851,169,36,13692.59,458.69,579.24,3767.06,0
PROD0032,Vaccines,Mannheim HQ,2024-01,840,338,15,256821.6,6230.28,4586.1,133223.81,0
PROD0033,Prescription Drugs,Mannheim HQ,2024-01,4237,820,187,138041.46,7020.71,6092.46,37939.7,0
PROD0034,OTC Medication,Munich,2024-01,2180,328,0,20295.8,1286.2,0.0,4365.91,0
PROD0035,OTC Medication,Hamburg,2024-01,290,79,8,25769.4,809.68,710.88,8802.49,1
PROD0036,Medical Devices,Hamburg,2024-01,216,62,0,1652.4,79.27,0.0,653.43,1
PROD0037,Prescription Drugs,Cologne,2024-01,858,454,19,36507.9,1473.19,808.45,22817.77,0
PROD0038,OTC Medication,Hamburg,2024-01,2047,879,62,6448.05,184.23,195.3,3982.59,0
PROD0039,OTC Medication,Hamburg,2024-01,195,111,4,1312.35,89.9,26.92,879.93,0
PROD0040,Specialty Pharma,Mannheim HQ,2024-01,1015,552,26,42569.1,3326.16,1090.44,31491.08,0
PROD0041,Vitamins & Supplements,Munich,2024-01,1592,489,10,127885.36,9192.21,803.3,52017.62,0
PROD0042,Prescription Drugs,Berlin,2024-01,2168,293,81,88194.24,6666.6,3295.08,16639.13,0
PROD0043,Specialty Pharma,Frankfurt,2024-01,217,95,9,6253.94,373.46,259.38,3199.74,0
PROD0044,Medical Devices,Mannheim HQ,2024-01,2753,287,60,63511.71,3477.04,1384.2,8193.62,0
PROD0045,Prescription Drugs,Frankfurt,2024-01,936,342,25,5260.32,255.53,140.5,2614.39,0
PROD0046,Vaccines,Munich,2024-01,1533,345,57,21400.68,516.62,795.72,5931.57,0
PROD0047,Vitamins & Supplements,Frankfurt,2024-01,187,45,2,3562.35,123.98,38.1,1186.42,0
PROD0048,Vitamins & Supplements,Frankfurt,2024-01,537,99,3,63231.75,3408.88,353.25,13980.69,0
PROD0049,Specialty Pharma,Berlin,2024-01,1966,663,52,98339.32,3375.62,2601.04,39338.96,0
PROD0050,Vitamins & Supplements,Mannheim HQ,2024-01,902,232,28,3598.98,73.96,111.72,1150.15,0
PROD0051,Prescription Drugs,Munich,2024-01,385,50,2,18811.1,947.1,97.72,2924.97,0
PROD0052,OTC Medication,Berlin,2024-01,1451,866,5,30267.86,892.37,104.3,21939.76,0
PROD0053,Vaccines,Frankfurt,2024-01,772,95,5,11348.4,232.37,73.5,1903.91,0
PROD0054,OTC Medication,Mannheim HQ,2024-01,1521,425,65,104933.79,7700.82,4484.35,34149.44,0
PROD0055,Medical Devices,Munich,2024-01,1424,286,22,162492.64,10247.1,2510.42,37835.09,0
PROD0056,Vaccines,Berlin,2024-01,1704,895,57,172512.96,12820.9,5770.68,119313.73,0
PROD0057,Medical Devices,Mannheim HQ,2024-01,2441,531,12,29536.1,1181.44,145.2,8279.47,0
PROD0058,OTC Medication,Hamburg,2024-01,579,91,3,13230.15,702.33,68.55,2398.71,0
PROD0059,Prescription Drugs,Cologne,2024-01,3435,1619,56,169276.8,12565.23,2759.68,94880.68,0
PROD0060,Vaccines,Munich,2024-01,3476,1660,95,371132.52,16994.16,10143.15,240314.72,0
PROD0061,Prescription Drugs,Munich,2024-01,2755,192,66,51325.65,3126.93,1229.58,5097.99,0
PROD0062,Vaccines,Munich,2024-01,399,25,2,10573.5,798.8,53.0,801.18,1
PROD0063,OTC Medication,Mannheim HQ,2024-01,2870,928,32,25198.6,774.9,280.96,9594.84,0
PROD0064,Specialty Pharma,Munich,2024-01,461,82,1,3632.68,130.92,7.88,925.74,0
PROD0065,Vitamins & Supplements,Munich,2024-01,321,63,13,28183.8,1944.62,1141.4,7724.63,0
PROD0066,OTC Medication,Mannheim HQ,2024-01,1726,528,3,290986.34,17342.85,505.77,112588.51,0
PROD0067,Prescription Drugs,Berlin,2024-01,3693,727,90,112156.41,6562.46,2733.3,26813.05,0
PROD0068,Medical Devices,Mannheim HQ,2024-01,836,160,17,92302.76,6703.88,1876.97,22679.16,0
PROD0069,Prescription Drugs,Frankfurt,2024-01,1353,55,31,69151.83,3186.32,1584.41,3778.57,0
PROD0070,Prescription Drugs,Frankfurt,2024-01,2249,863,112,34342.23,1079.52,1710.24,17331.81,0
PROD0071,Prescription Drugs,Frankfurt,2024-01,367,42,8,18750.03,1147.98,408.72,2714.21,0
PROD0072,Prescription Drugs,Berlin,2024-01,1926,428,82,403862.94,23177.48,17194.58,127027.98,0
PROD0073,Vaccines,Cologne,2024-01,2356,530,80,74732.32,3326.67,2537.6,24347.0,0
PROD0074,Vaccines,Munich,2024-01,1311,39,48,283831.5,12836.0,10392.0,11690.66,0
PROD0075,Vaccines,Berlin,2024-01,1572,511,69,2247.96,99.04,98.67,1011.64,0
PROD0076,OTC Medication,Frankfurt,2024-01,1553,599,64,137890.87,7777.42,5682.56,66294.37,0
PROD0077,Vitamins & Supplements,Munich,2024-01,469,112,0,17240.44,873.75,0.0,5128.55,0
PROD0078,Medical Devices,Cologne,2024-01,945,50,17,21857.85,1267.24,393.21,1350.3,0
PROD0079,Specialty Pharma,Munich,2024-01,514,291,11,19002.58,1299.91,406.67,14846.98,0
PROD0080,OTC Medication,Frankfurt,2024-01,1094,183,6,3336.7,236.3,18.3,683.37,0
PROD0081,Specialty Pharma,Munich,2024-01,1138,292,34,28950.72,1826.49,864.96,10361.88,0
PROD0082,OTC Medication,Cologne,2024-01,3981,249,195,202354.23,12396.83,9911.85,18338.47,0
PROD0083,OTC Medication,Cologne,2024-01,1065,609,51,207770.85,10612.73,9949.59,150475.8,0
PROD0084,Prescription Drugs,Munich,2024-01,879,110,15,15628.62,1064.47,266.7,2596.82,0
PROD0085,Vitamins & Supplements,Cologne,2024-01,3176,1891,151,39858.8,2931.45,1895.05,27492.68,0
PROD0086,Vitamins & Supplements,Cologne,2024-01,1531,601,72,27772.34,1990.3,1306.08,13002.23,0
PROD0087,Specialty Pharma,Frankfurt,2024-01,3979,791,126,395234.07,19397.62,12515.58,103133.96,0
PROD0088,Prescription Drugs,Berlin,2024-01,1544,522,4,75856.72,2584.66,196.52,30187.16,0
PROD0089,Prescription Drugs,Munich,2024-01,1157,636,14,20293.78,687.26,245.56,12895.45,0
PROD0090,Prescription Drugs,Hamburg,2024-01,620,20,21,38012.2,1514.66,1287.51,1747.79,0
PROD0091,OTC Medication,Hamburg,2024-01,306,53,10,11386.26,845.78,372.1,2692.12,1
PROD0092,Vaccines,Hamburg,2024-01,3387,1749,82,358649.43,7298.98,8682.98,216290.81,0
PROD0093,Vitamins & Supplements,Cologne,2024-01,1291,620,18,18409.66,1179.97,256.68,12221.28,0
PROD0094,OTC Medication,Hamburg,2024-01,3578,1514,18,79968.3,3928.64,402.3,42706.04,0
PROD0095,Specialty Pharma,Hamburg,2024-01,566,320,3,11710.54,880.13,62.07,8282.41,0
PROD0096,Vitamins & Supplements,Frankfurt,2024-01,1510,159,20,8637.2,516.42,114.4,1245.72,0
PROD0097,OTC Medication,Munich,2024-01,1897,1017,83,89614.28,2062.04,3920.92,59822.52,0
PROD0098,Vitamins & Supplements,Berlin,2024-01,2992,1170,91,135537.6,8901.2,4122.3,64500.69,0
PROD0099,Medical Devices,Hamburg,2024-01,2450,379,48,81634.0,1727.25,1599.36,15684.92,0
PROD0100,OTC Medication,Mannheim HQ,2024-01,519,85,5,12969.81,867.25,124.95,2907.22,0
PROD0101,OTC Medication,Mannheim HQ,2024-01,3264,1762,145,19779.84,1132.61,878.7,12383.11,0
PROD0102,Specialty Pharma,Frankfurt,2024-01,1507,848,28,30124.93,2316.26,559.72,22747.14,0
PROD0103,Medical Devices,Frankfurt,2024-01,437,259,15,9592.15,541.44,329.25,6777.68,1
PROD0104,Medical Devices,Frankfurt,2024-01,3224,179,60,40783.6,876.93,759.0,2839.59,0
PROD0105,Vitamins & Supplements,Munich,2024-01,1359,191,11,37087.11,910.53,300.19,7279.1,0
PROD0106,Specialty Pharma,Mannheim HQ,2024-01,568,248,0,30547.04,2070.36,0.0,16399.23,0
PROD0107,Medical Devices,Hamburg,2024-01,1176,89,22,374485.44,22353.41,7005.68,34774.53,0
PROD0108,Prescription Drugs,Hamburg,2024-01,629,20,3,25682.07,676.17,122.49,1033.64,0
PROD0109,Specialty Pharma,Hamburg,2024-01,1909,360,52,86114.99,2632.51,2345.72,21077.78,0
PROD0110,Vaccines,Hamburg,2024-01,1644,379,69,49796.76,2383.8,2090.01,14494.58,0
PROD0111,OTC Medication,Berlin,2024-01,3611,1983,147,11952.41,870.25,486.57,8830.13,0
PROD0112,Vaccines,Cologne,2024-01,2965,481,41,95117.2,4065.01,1315.28,19834.13,0
PROD0113,OTC Medication,Munich,2024-01,248,95,0,8828.8,364.56,0.0,4212.67,0
PROD0114,Vaccines,Berlin,2024-01,287,38,5,182658.28,9744.22,3182.2,29046.61,0
PROD0115,OTC Medication,Hamburg,2024-01,3276,349,19,86126.04,4245.7,499.51,12057.27,0
PROD0116,Specialty Pharma,Hamburg,2024-01,429,106,19,20398.95,956.67,903.45,7286.17,0
PROD0117,OTC Medication,Cologne,2024-01,4073,146,110,129358.48,4476.23,3493.6,6643.52,0
PROD0118,Vaccines,Berlin,2024-01,784,330,27,6389.6,290.86,220.05,3219.68,0
PROD0119,Specialty Pharma,Berlin,2024-01,262,104,3,34191.0,1312.88,391.5,19575.16,0
PROD0120,Medical Devices,Cologne,2024-01,1750,563,84,142870.0,7451.5,6857.76,56739.74,0
PROD0121,Specialty Pharma,Berlin,2024-01,1149,118,3,98308.44,6240.22,256.68,12800.52,0
PROD0122,Prescription Drugs,Berlin,2024-01,604,98,1,6716.48,225.9,11.12,1371.19,0
PROD0123,Specialty Pharma,Munich,2024-01,1917,199,37,341762.76,12460.5,6596.36,49568.38,0
PROD0124,Specialty Pharma,Cologne,2024-01,542,122,3,3338.72,240.65,18.48,870.05,0
PROD0125,Vaccines,Hamburg,2024-01,246,94,1,16474.62,802.7,66.97,8133.82,0
PROD0126,Medical Devices,Mannheim HQ,2024-01,268,98,12,122950.36,8523.74,5505.24,57064.35,1
PROD0127,Vaccines,Cologne,2024-01,2235,562,11,22551.15,522.99,110.99,7613.09,0
PROD0128,Prescription Drugs,Mannheim HQ,2024-01,1767,398,47,29650.26,1586.77,788.66,9454.32,0
PROD0129,Vaccines,Hamburg,2024-01,1758,402,57,65608.56,4889.0,2127.24,17453.85,0
PROD0130,Medical Devices,Frankfurt,2024-01,1120,496,16,20272.0,478.24,289.6,10933.57,0
PROD0131,Specialty Pharma,Berlin,2024-01,636,308,3,3275.4,195.25,15.45,1896.05,0
PROD0132,Vaccines,Munich,2024-01,993,107,42,35708.28,719.92,1510.32,4821.72,0
PROD0133,Medical Devices,Munich,2024-01,2421,867,96,22418.46,835.24,888.96,10653.05,0
PROD0134,Prescription Drugs,Munich,2024-01,1308,82,49,76465.68,5768.28,2864.54,6689.74,0
PROD0135,Vitamins & Supplements,Frankfurt,2024-01,950,568,43,10440.5,349.6,472.57,8802.1,0
PROD0136,Prescription Drugs,Munich,2024-01,2160,1192,30,459453.6,31039.2,6381.3,327809.8,0
PROD0137,Vitamins & Supplements,Hamburg,2024-01,740,222,2,9575.6,586.82,25.88,3736.3,0
PROD0138,Vaccines,Hamburg,2024-01,2251,1190,86,50647.5,1258.31,1935.0,38685.23,0
PROD0139,Vaccines,Mannheim HQ,2024-01,250,50,12,21975.0,560.0,1054.8,5646.31,1
PROD0140,Specialty Pharma,Frankfurt,2024-01,1514,236,24,11445.84,255.87,181.44,2119.32,0
PROD0141,Specialty Pharma,Berlin,2024-01,3604,340,174,156810.04,4843.78,7570.74,18944.69,0
PROD0142,Prescription Drugs,Berlin,2024-01,498,152,10,79157.1,3522.35,1589.5,34386.08,0
PROD0143,OTC Medication,Hamburg,2024-01,3500,294,22,16835.0,1036.0,105.82,1790.91,0
PROD0144,Vaccines,Hamburg,2024-01,920,353,17,38023.6,961.4,702.61,19052.51,0
PROD0145,Vitamins & Supplements,Mannheim HQ,2024-01,3720,70,179,168255.6,10006.8,8096.17,4232.81,0
PROD0146,Prescription Drugs,Frankfurt,2024-01,2325,879,14,196741.5,8204.92,1184.68,94786.12,0
PROD0147,Prescription Drugs,Berlin,2024-01,1351,600,12,10146.01,536.35,90.12,6432.22,0
PROD0148,Prescription Drugs,Cologne,2024-01,1358,123,36,9220.82,521.47,244.44,1177.79,0
PROD0149,Medical Devices,Mannheim HQ,2024-01,786,469,26,48692.7,2587.51,1610.7,35715.04,0
PROD0150,Vitamins & Supplements,Cologne,2024-01,2890,1014,121,136668.1,9557.23,5722.09,55683.84,0
PROD0151,Vaccines,Berlin,2024-01,1273,432,18,56941.29,2558.73,805.14,25805.83,0
PROD0152,Vitamins & Supplements,Munich,2024-01,1549,730,51,77744.31,3344.29,2559.69,42560.79,0
PROD0153,Prescription Drugs,Hamburg,2024-01,262,80,0,3835.68,154.84,0.0,1608.91,0
PROD0154,Medical Devices,Berlin,2024-01,2393,782,2,104717.68,7356.08,87.52,42821.93,0
PROD0155,OTC Medication,Frankfurt,2024-01,2648,656,71,124641.36,6114.23,3341.97,43317.21,0
PROD0156,Vitamins & Supplements,Berlin,2024-01,3022,1422,25,42459.1,3064.31,351.25,28804.85,0
PROD0157,OTC Medication,Mannheim HQ,2024-01,1138,157,19,353610.74,13823.29,5903.87,70360.38,0
PROD0158,Vitamins & Supplements,Cologne,2024-01,941,348,17,55029.68,4338.95,994.16,27853.24,0
PROD0159,Vaccines,Berlin,2024-01,781,116,28,6193.33,446.73,222.04,1116.2,0
PROD0160,Vitamins & Supplements,Cologne,2024-01,3379,1537,124,246024.99,7048.59,9028.44,154193.55,0
PROD0161,Medical Devices,Frankfurt,2024-01,1774,135,65,18236.72,1122.94,668.2,1925.5,0
PROD0162,Specialty Pharma,Hamburg,2024-01,785,179,32,66850.6,5163.73,2725.12,19374.9,0
PROD0163,Prescription Drugs,Mannheim HQ,2024-01,1156,602,1,153748.0,5240.15,133.0,96249.04,0
PROD0164,Vitamins & Supplements,Cologne,2024-01,1843,431,7,22797.91,1419.11,86.59,6530.24,0
PROD0165,Specialty Pharma,Mannheim HQ,2024-01,1969,123,46,207178.18,4715.76,4840.12,17619.19,0
PROD0166,Medical Devices,Munich,2024-01,730,208,29,39668.2,1374.59,1575.86,14710.92,0
PROD0167,OTC Medication,Mannheim HQ,2024-01,690,368,1,61278.9,3466.56,88.81,39956.5,0
PROD0168,Vitamins & Supplements,Munich,2024-01,2144,1236,57,691482.88,23461.79,18383.64,479667.24,0
PROD0169,Specialty Pharma,Hamburg,2024-01,1036,620,35,25558.12,1892.77,863.45,19194.63,0
PROD0170,Vitamins & Supplements,Frankfurt,2024-01,870,448,16,11658.0,442.83,214.4,8252.53,0
PROD0171,Vitamins & Supplements,Munich,2024-01,422,92,0,4806.58,384.44,0.0,1326.58,0
PROD0172,Vitamins & Supplements,Berlin,2024-01,697,312,13,8670.68,472.57,161.72,5461.48,0
PROD0173,Medical Devices,Frankfurt,2024-01,2024,443,34,61104.56,4394.1,1026.46,17994.63,0
PROD0174,Medical Devices,Frankfurt,2024-01,1238,40,55,61739.06,4205.49,2742.85,2760.98,0
PROD0175,Vaccines,Cologne,2024-01,203,80,2,9370.48,612.25,92.32,4963.9,1
PROD0176,Specialty Pharma,Mannheim HQ,2024-01,2495,37,28,222953.2,8590.28,2502.08,4052.61,0
PROD0177,Specialty Pharma,Mannheim HQ,2024-01,3513,1271,164,118177.32,8814.12,5516.96,52702.17,0
PROD0178,OTC Medication,Munich,2024-01,3244,1764,89,614640.68,41299.36,16862.83,430381.44,0
PROD0179,Medical Devices,Berlin,2024-01,1124,497,19,27088.4,2027.7,457.9,16207.73,0
PROD0180,Specialty Pharma,Mannheim HQ,2024-01,1687,618,13,1461414.36,70293.92,11261.64,616845.28,0
PROD0181,Specialty Pharma,Cologne,2024-01,884,307,41,62021.44,4886.75,2876.56,28606.79,0
PROD0182,Vitamins & Supplements,Berlin,2024-01,1276,325,13,15107.84,788.57,153.92,4981.32,0
PROD0183,Vaccines,Cologne,2024-01,1574,303,41,14417.84,1101.8,375.56,3909.12,0
PROD0184,Vitamins & Supplements,Frankfurt,2024-01,1177,691,45,69537.16,5079.93,2658.6,58609.64,0
PROD0185,Specialty Pharma,Cologne,2024-01,2859,631,48,72418.47,5026.12,1215.84,19099.62,0
PROD0186,Prescription Drugs,Mannheim HQ,2024-01,643,49,25,50160.43,3850.93,1950.25,5153.32,0
PROD0187,Prescription Drugs,Frankfurt,2024-01,1265,758,3,73913.95,2079.66,175.29,59641.73,0
PROD0188,Vitamins & Supplements,Cologne,2024-01,797,152,26,24180.98,1538.21,788.84,5863.2,0
PROD0189,Vitamins & Supplements,Hamburg,2024-01,3050,92,149,36569.5,2790.75,1786.51,1502.86,0
PROD0190,OTC Medication,Hamburg,2024-01,2393,408,43,12874.34,990.7,231.34,3002.74,0
PROD0191,Vaccines,Berlin,2024-01,528,293,20,10232.64,241.82,387.6,7867.16,0
PROD0192,Vitamins & Supplements,Cologne,2024-01,717,203,32,66351.18,2171.79,2961.28,23295.27,0
PROD0193,Medical Devices,Munich,2024-01,738,356,35,31601.16,2123.96,1498.7,18358.87,0
PROD0194,Vaccines,Munich,2024-01,275,140,2,2043.25,81.12,14.86,1427.44,1
PROD0195,Medical Devices,Munich,2024-01,625,113,21,25475.0,1335.62,855.96,6201.04,0
PROD0196,OTC Medication,Berlin,2024-01,1085,383,14,57049.3,3845.24,736.12,27654.96,0
PROD0197,Prescription Drugs,Berlin,2024-01,787,235,21,9026.89,208.56,240.87,3400.32,0
PROD0198,Specialty Pharma,Hamburg,2024-01,1355,321,59,53956.1,2531.14,2349.38,17963.67,0
PROD0199,Vitamins & Supplements,Munich,2024-01,4065,239,162,144348.15,11077.12,5752.62,11245.74,0
PROD0200,Medical Devices,Cologne,2024-01,2689,165,120,22587.6,1758.61,1008.0,1963.72,0
PROD0201,Vitamins & Supplements,Mannheim HQ,2024-01,1067,142,43,54278.29,2682.44,2187.41,9134.17,0
PROD0202,Medical Devices,Munich,2024-01,2628,866,13,170583.48,4083.91,843.83,79329.54,0
PROD0203,Specialty Pharma,Hamburg,2024-01,1335,160,25,162162.45,12920.13,3036.75,24348.44,0
PROD0204,Vaccines,Hamburg,2024-01,1409,488,18,165247.52,4287.59,2111.04,71249.77,0
PROD0205,Vitamins & Supplements,Munich,2024-01,3058,389,20,19387.72,868.47,126.8,3196.95,0
PROD0206,Specialty Pharma,Berlin,2024-01,1412,201,40,15179.0,691.88,430.0,2896.16,0
PROD0207,Specialty Pharma,Mannheim HQ,2024-01,67,34,2,4116.48,104.85,122.88,2533.52,1
PROD0208,Prescription Drugs,Cologne,2024-01,959,192,36,58834.65,2492.44,2208.6,16247.58,0
PROD0209,Vaccines,Frankfurt,2024-01,2135,200,16,131174.4,5217.94,983.04,16396.42,0
PROD0210,Specialty Pharma,Cologne,2024-01,2772,899,103,9347350.32,215800.2,347322.18,3876379.1,0
PROD0211,Medical Devices,Frankfurt,2024-01,4103,1590,1,269567.1,13597.34,65.7,121314.72,0
PROD0212,OTC Medication,Berlin,2024-01,870,394,23,112551.9,7959.63,2975.51,73145.55,0
PROD0213,Vaccines,Hamburg,2024-01,511,291,6,53164.44,3759.43,624.24,34979.71,0
PROD0214,Vaccines,Cologne,2024-01,110,60,5,7959.6,286.88,361.8,5316.93,1
PROD0215,Medical Devices,Mannheim HQ,2024-01,3009,725,79,68244.12,2109.31,1791.72,19545.45,0
PROD0216,Prescription Drugs,Cologne,2024-01,3190,1050,150,262632.7,15229.06,12349.5,107352.25,0
PROD0217,OTC Medication,Hamburg,2024-01,386,230,1,5056.6,238.93,13.1,3734.5,0
PROD0218,Specialty Pharma,Frankfurt,2024-01,659,253,21,16422.28,916.01,523.32,8070.72,0
PROD0219,Vaccines,Cologne,2024-01,3007,294,87,55629.5,1383.22,1609.5,7880.25,0
PROD0220,Vitamins & Supplements,Hamburg,2024-01,4233,1491,192,154631.49,6937.89,7013.76,65715.02,0
PROD0221,Prescription Drugs,Hamburg,2024-01,3453,98,58,1838722.5,49008.43,30885.0,63524.61,0
PROD0222,Specialty Pharma,Mannheim HQ,2024-01,173,47,0,608.96,20.24,0.0,219.52,0
PROD0223,OTC Medication,Munich,2024-01,791,83,23,59680.95,3941.55,1735.35,8537.67,0
PROD0224,Prescription Drugs,Hamburg,2024-01,3302,96,96,15783.56,1023.62,458.88,648.38,0
PROD0225,Vaccines,Munich,2024-01,1090,567,39,20492.0,1024.6,733.2,12413.92,0
PROD0226,Specialty Pharma,Hamburg,2024-01,441,189,3,53947.53,1139.54,366.99,31121.64,1
PROD0227,Vaccines,Frankfurt,2024-01,139,26,5,4972.03,220.04,178.85,1101.83,1
PROD0228,Vitamins & Supplements,Berlin,2024-01,1961,798,15,17825.49,539.28,136.35,9532.86,0
PROD0229,Prescription Drugs,Mannheim HQ,2024-01,4013,647,52,56342.52,1950.32,730.08,12340.97,0
PROD0230,Prescription Drugs,Berlin,2024-01,1400,29,38,104790.0,6785.8,2844.3,2770.32,0
PROD0231,Prescription Drugs,Cologne,2024-01,487,286,8,6710.86,180.19,110.24,5268.59,0
PROD0232,Medical Devices,Cologne,2024-01,1486,160,53,63808.84,4397.07,2275.82,9613.03,0
PROD0233,Medical Devices,Munich,2024-01,929,543,46,32496.42,1824.56,1609.08,25363.05,0
PROD0234,Vitamins & Supplements,Frankfurt,2024-01,1346,136,13,20391.9,957.01,196.95,2677.12,0
PROD0235,Specialty Pharma,Munich,2024-01,2632,429,67,1141919.52,52969.0,29068.62,260473.88,0
PROD0236,Medical Devices,Mannheim HQ,2024-01,1756,753,52,124430.16,5116.98,3684.72,66088.98,0
PROD0237,Vitamins & Supplements,Mannheim HQ,2024-01,124,55,3,360.84,15.25,8.73,227.77,0
PROD0238,Vaccines,Frankfurt,2024-01,658,189,15,27254.36,1173.87,621.3,9009.07,0
PROD0239,Vitamins & Supplements,Cologne,2024-01,875,484,7,13098.75,409.5,104.79,10147.8,0
PROD0240,OTC Medication,Hamburg,2024-01,892,525,9,82153.2,2153.29,828.9,69377.8,0
PROD0241,Vaccines,Munich,2024-01,4328,327,185,55355.12,1237.81,2366.15,5717.55,0
PROD0242,Vaccines,Munich,2024-01,3829,1068,164,110504.94,4621.6,4733.04,37583.33,0
PROD0243,Medical Devices,Frankfurt,2024-01,1253,290,29,76057.1,1760.47,1760.3,20507.92,0
PROD0244,Prescription Drugs,Cologne,2024-01,567,40,27,53065.53,2291.81,2526.93,4631.47,0
PROD0245,Medical Devices,Frankfurt,2024-01,3387,1406,80,26554.08,1588.5,627.2,14085.22,0
PROD0246,OTC Medication,Cologne,2024-01,642,68,2,14233.14,1085.62,44.34,1738.07,0
PROD0247,Specialty Pharma,Munich,2024-01,614,359,20,11500.22,692.59,374.6,8076.64,0
PROD0248,Vaccines,Mannheim HQ,2024-01,1543,468,34,23330.16,973.63,514.08,10002.45,0
PROD0249,Vitamins & Supplements,Munich,2024-01,424,115,10,116807.76,9344.54,2754.9,38171.62,0
PROD0250,Prescription Drugs,Frankfurt,2024-01,1675,429,58,90182.0,6321.45,3122.72,28445.55,0
PROD0251,Vaccines,Frankfurt,2024-01,860,373,30,6269.4,267.46,218.7,3779.56,0
PROD0252,Specialty Pharma,Mannheim HQ,2024-01,2795,1652,42,278465.85,12434.95,4184.46,194859.43,0
PROD0253,Specialty Pharma,Munich,2024-01,712,101,6,300941.04,15661.15,2536.02,54421.15,0
PROD0254,OTC Medication,Cologne,2024-01,2562,1008,112,292887.84,22502.05,12803.84,138785.99,0
PROD0255,Vitamins & Supplements,Frankfurt,2024-01,1011,387,39,5408.85,243.65,208.65,2398.92,0
PROD0256,Vaccines,Berlin,2024-01,3051,1822,33,56504.52,1305.83,611.16,43695.19,0
PROD0257,Vaccines,Cologne,2024-01,1096,135,26,166000.16,11744.74,3937.96,26217.4,0
PROD0258,OTC Medication,Hamburg,2024-01,496,153,20,7028.32,522.29,283.4,2697.59,0
PROD0259,Prescription Drugs,Hamburg,2024-01,852,464,33,48061.32,3511.94,1861.53,36127.22,0
PROD0260,Vitamins & Supplements,Berlin,2024-01,1037,366,33,86993.93,2971.01,2768.37,40127.67,0
PROD0261,Prescription Drugs,Mannheim HQ,2024-01,1661,653,12,18088.29,1272.33,130.68,9101.26,0
